9840444K;Centre des jeunes adolescents MAHINA Ahonu;CENTRE DES JEUNES ADOLESCENTS;MAHINA (AHONU);Public;0  PK 12,5 C/ MONTAGNE;IDV TAHITI (Mahina);;98709;MAHINA;Mahina;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;987;00;41;98725;Polynésie Française;TOM et Collectivités territoriales;Polynésie Française;;99;SANS OBJET
9840453V;Centre des jeunes adolescents RIMATARA;CENTRE DES JEUNES ADOLESCENTS;RIMATARA;Public;;AUSTRALES RIMATARA;;98752;MUTUAURA;Rimatara;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;987;00;41;98743;Polynésie Française;TOM et Collectivités territoriales;Polynésie Française;;99;SANS OBJET
9840455X;Centre des jeunes adolescents TAUTIRA;CENTRE DES JEUNES ADOLESCENTS;TAUTIRA (TAIARAPU EST);Public;0  ROUTE FENUA AIHERE;IDV TAHITI (Tautira);8081;98722;TAUTIRA;Taiarapu;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;987;00;41;98747;Polynésie Française;TOM et Collectivités territoriales;Polynésie Française;;99;SANS OBJET
9840481A;LYCEE PROFESSIONNEL PRIVE DON BOSCO;LYCEE PROFESSIONNEL PRIVE;LYCEE PROFESSIONNEL PRIVE DON BOSCO;Privé;216 rue Afarerii;Afarerii;51565;98716;PIRAE;Pirae;;;;;;;;320;LYCEE PROFESSIONNEL;1;OUVERT;987;00;41;98736;Polynésie Française;TOM et Collectivités territoriales;Polynésie Française;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES
9840485E;LYCEE SAMUEL RAAPOTO ANNEXE POLE ENSEIGNEMENT SUPERIEUR;LYCEE SAMUEL RAAPOTO ANNEXE;POLE ENSEIGNEMENT SUPERIEUR;Privé;304 avenue du chef Vairaatoa;Taunoa;49;98713;PAPEETE;Papeete;;;;;;;;306;LYCEE POLYVALENT;1;OUVERT;987;00;41;98735;Polynésie Française;TOM et Collectivités territoriales;Polynésie Française;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES
9840493N;Ecole primaire publique Matie Roa;ECOLE PRIMAIRE PUBLIQUE;MATIE ROA;Public;Village HAAMENE PK 21;HAAMENE;135;98733;TIVA;Tahaa;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;987;00;41;98745;Polynésie Française;TOM et Collectivités territoriales;Polynésie Française;;99;SANS OBJET
9870001M;Collège Alofivai de Lano;COLLEGE;ALOFIVAI DE LANO;Public;;UVEA;245;98600;UVEA;Uvea;;;;;;;;340;COLLEGE;1;OUVERT;986;00;42;98613;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;99;SANS OBJET
9870006T;Ecole primaire privée de Malaetoli;ECOLE PRIMAIRE PRIVEE;DE MALAETOLI;Privé;MALAETOLI  MUA;UVEA;;98600;UVEA;Uvea;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;986;00;42;98613;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;10;HORS CONTRAT
9870008V;Ecole primaire privée de Sau-Sau A Sigave;ECOLE PRIMAIRE PRIVEE;DE SAU-SAU A SIGAVE;Privé;SAU-SAU   SIGAVE;SIGAVE;;98620;SIGAVE;Sigave;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;986;00;42;98612;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;10;HORS CONTRAT
9870010X;Ecole primaire privée de Malaefoou;ECOLE PRIMAIRE PRIVEE;DE MALAEFOOU;Privé;MALAEFOOU  MUA;UVEA;;98600;UVEA;Uvea;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;986;00;42;98613;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;10;HORS CONTRAT
9870020H;Ecole maternelle privée de Alo;ECOLE MATERNELLE PRIVEE;DE ALO;Privé;;ALO;;98610;ALO;Alo;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;986;00;42;98611;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;10;HORS CONTRAT
9870023L;Ecole maternelle privée de Hahake;ECOLE MATERNELLE PRIVEE;DE HAHAKE;Privé;HAHAKE  MATA UTU;UVEA;;98600;UVEA;Uvea;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;986;00;42;98613;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;10;HORS CONTRAT
9870026P;Lycée général et technologique de Wallis et Futuna;LYCEE GENERAL ET TECHNOLOGIQUE;DE WALLIS ET FUTUNA;Public;Mata Utu;UVEA;226;98600;UVEA;Uvea;;;;;;;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;986;00;42;98613;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;99;SANS OBJET
9870032W;Collège Finemui de Teesi;COLLEGE;FINEMUI DE TEESI;Public;;UVEA;863;98600;UVEA;Uvea;;;;;;;;340;COLLEGE;1;OUVERT;986;00;42;98613;Wallis et Futuna;TOM et Collectivités territoriales;Wallis et Futuna;;99;SANS OBJET
